runs;repetition;fleet_size;learned_performance;other_cars
800;3;5;3445.76;[2807.59, 2725.06, 2480.94]
800;3;6;3510.27;[2995.98, 2976.67, 2573.31, 3292.95]
80000;1;2;2770.42;[]
80000;1;3;2629.63;[2743.79]
80000;1;4;2858.07;[2747.42, 2653.52]
80001;1;2;2790.81;[]
80001;1;3;2877.23;[2416.29]
80001;1;4;2916.63;[2840.07, 2801.4]
80001;1;5;2925.25;[2566.32, 3035.37, 2849.35]
80001;1;6;3028.44;[3036.09, 2766.96, 2704.53, 3397.19]
